Species,Region,Early,Late
,Coastal Plain,10-May,8-Jul
,,,
Helocordulia selysii (Selys Sundragon)  ,Statewide,5-Mar,1-May
,Blue Ridge,,
,Ridge+Valley/CumP,,
,Piedmont,5-Mar,16-Apr
,Coastal Plain,23-Mar,15-Apr
,,,
Helocordulia uhleri (Uhlers Sundragon)  ,Statewide,4-Apr,25-May
,Blue Ridge,23-Apr,25-May
,Ridge+Valley/CumP,21-Mar,7-May
,Piedmont,15-Apr,
,,,
Neurocordulia molesta (Smoky Shadowdragon)  ,Statewide,20-Apr,9-Jun
,Blue Ridge,,
,Ridge+Valley/CumP,22-Jun,22-Jun
,Piedmont,,
,Coastal Plain,20-Apr,4-Jun
,,,
Neurocordulia obsoleta (Umber Shadowdragon),Statewide,1-Apr,
,Ridge+Valley/CumP,,
,Coastal Plain,,
,,,
Neurocordulia virginiensis (Cinnamon Shadowdragon)  ,Statewide,23-Mar,29-Jun
,Blue Ridge,7-May,14-Jun
,Ridge+Valley/CumP,,
,Piedmont,23-Mar,31-May
,Coastal Plain,,
,,,
Somatochlora filosa (Fine-lined Emerald)  ,Statewide,29-May,5-Nov
,Piedmont,,
,Coastal Plain,29-May,5-Nov
,,,
Somatochlora linearis (Mocha Emerald) ,Statewide,11-Jun,25-Sep
,Blue Ridge,,
,Ridge+Valley/CumP,11-Jun,25-Sep
,Piedmont,,12-Aug
,Coastal Plain,28-Jun,10-Aug
,,,
Somatochlora tenebrosa (Clamp-tipped Emerald)  ,Statewide,27-May,27-Sep
,Blue Ridge,11-Jul,10-Sep
,Ridge+Valley/CumP,20-Jun,27-Sep
,Piedmont,,
,Coastal Plain,7-Jul,7-Jul
,,,
Brachymesia furcata (Red-tailed Pennant)  ,Statewide,12-Jul,16-Sep
,Ridge+Valley/CumP,21-Jul,16-Sep
,Piedmont,12-Jul,24-Jul
,,,
Brachymesia gravida (Four-spotted Pennant)  ,Statewide,22-Apr,11-Nov
,Ridge+Valley/CumP,21-Aug,2-Oct
,Piedmont,5-Jun,11-Sep
,Coastal Plain,22-Apr,11-Nov
,,,
Celithemis amanda (Amandas Pennant) ,Statewide,4-Jul,4-Oct
,Piedmont,,
,Coastal Plain,23-Jul,25-Sep
,,,
Celithemis bertha (Red-veined Pennant)  ,Statewide,22-Apr,28-Oct
,Blue Ridge,30-Aug,24-Sep
,Ridge+Valley/CumP,25-May,21-Oct
,Piedmont,3-Jun,1-Oct
,Coastal Plain,22-Apr,28-Oct
,,,
Celithemis elisa (Calico Pennant)  ,Statewide,9-Mar,21-Nov
,Blue Ridge,11-May,12-Oct
,Ridge+Valley/CumP,3-Apr,30-Oct
,Piedmont,17-Apr,26-Sep
,Coastal Plain,19-Mar,16-Nov
,,,
Celithemis eponina (Halloween Pennant)  ,Statewide,13-Mar,28-Nov
,Blue Ridge,7-Jun,12-Sep
,Ridge+Valley/CumP,16-May,15-Oct
,Piedmont,17-Jun,15-Oct
,Coastal Plain,13-Mar,28-Nov
,,,
Celithemis fasciata (Banded Pennant) ,Statewide,28-Apr,5-Nov
,Blue Ridge,26-May,12-Oct
,Ridge+Valley/CumP,16-May,7-Oct
,Piedmont,15-May,24-Sep
,Coastal Plain,28-Apr,5-Nov
,,,
Celithemis ornata (Ornate Pennant)  ,Statewide,13-Mar,5-Nov
,Blue Ridge,30-Aug,30-Aug
,Piedmont,,
,Coastal Plain,13-Mar,5-Nov
,,,
Celithemis verna (Double-ringed Pennant)  ,Statewide,21-Apr,23-Jun
,Blue Ridge,,
,Ridge+Valley/CumP,23-May,23-Jun
,Piedmont,,
,Coastal Plain,21-Apr,19-Jun
,,,
Dythemis velox (Swift Setwing)  ,Statewide,20-May,22-Oct
,Blue Ridge,9-Aug,16-Aug
,Ridge+Valley/CumP,27-May,22-Oct
,Piedmont,20-May,26-Sep
,Coastal Plain,12-Jun,4-Sep
,,,
Erythemis simplicicollis (Eastern Pondhawk)  ,Statewide,5-Mar,21-Nov
,Blue Ridge,6-May,5-Oct
,Ridge+Valley/CumP,11-Apr,31-Oct
,Piedmont,22-Apr,27-Oct
,Coastal Plain,6-Mar,6-Nov
,,,
Erythrodiplax berenice (Seaside Dragonlet) ,Statewide,10-Apr,13-Oct
,Coastal Plain,10-Apr,13-Oct
,,,
